trackingcode,shippingmethod,fromzip,tozip,acceptedat,deliveredat,zip_group_to,transit_time,day_of_week
779910975880,FEDEX.GROUND,75211,29466,2020-01-27T14:59:00-06:00,2020-01-30T10:04:44-05:00,294,3,Monday
779916702330,FEDEX.GROUND,75211,65674,2020-01-27T15:47:00-06:00,2020-01-29T10:12:45-06:00,656,2,Monday
779917207860,FEDEX.GROUND,75211,70526,2020-01-27T15:47:00-06:00,2020-01-29T10:48:10-06:00,705,2,Monday
390117579024,FEDEX.GROUND,75211,71350,2020-02-03T16:10:00-06:00,2020-02-04T10:07:26-06:00,713,1,Monday
779928271708,FEDEX.GROUND,75211,67124,2020-01-29T00:00:00,2020-01-31T10:09:20-06:00,671,2,Wednesday
390099979835,FEDEX.GROUND,75211,92562,2020-02-03T17:12:00-06:00,2020-02-06T12:41:23-08:00,925,3,Monday
390129507474,FEDEX.GROUND,75211,87114,2020-02-05T00:00:00,2020-02-10T08:42:50-07:00,871,3,Wednesday
779901508362,FEDEX.GROUND,75211,57078,2020-01-27T00:00:00,2020-01-30T09:08:18-06:00,570,3,Monday
779947203423,FEDEX.GROUND,75211,32839,2020-01-28T16:52:00-06:00,2020-01-31T15:09:17-05:00,328,3,Tuesday
779928320375,FEDEX.GROUND,75211,87112,2020-01-29T00:00:00,2020-02-03T15:59:56-07:00,871,3,Wednesday
390092622899,FEDEX.GROUND,75211,33565,2020-02-03T16:10:00-06:00,2020-02-06T12:54:03-05:00,335,3,Monday
776948262084,FEDEX.GROUND,75211,J4Y3E5,2019-11-11T00:00:00,2019-11-18T09:36:25-05:00,J4Y,4,Monday
779928747410,FEDEX.GROUND,75211,72023,2020-01-29T16:06:00-06:00,2020-01-30T10:32:04-06:00,720,1,Wednesday
390118056162,FEDEX.GROUND,75211,39211,2020-02-03T17:12:00-06:00,2020-02-05T15:28:13-06:00,392,2,Monday
779912277795,FEDEX.GROUND,75211,77386,2020-01-27T16:50:00-06:00,2020-01-28T10:05:31-06:00,773,1,Monday
390106155029,FEDEX.GROUND,75211,67226,2020-02-05T00:00:00,2020-02-07T10:59:14-06:00,672,2,Wednesday
390120981580,FEDEX.GROUND,75211,37771,2020-02-03T16:10:00-06:00,2020-02-05T09:35:12-05:00,377,2,Monday
390118569740,FEDEX.GROUND,75211,78660,2020-02-03T16:10:00-06:00,2020-02-04T10:26:29-06:00,786,1,Monday
390417841108,FEDEX.GROUND,75211,76903,2020-02-17T15:54:00-06:00,2020-02-18T09:40:36-06:00,769,0,Monday
