zip_group_to,day_of_week,days_req,n_success,n_failure,n,percentage,confidence_yes,confidence_no,decision,successRateTargetPct,n_success_aggregate,n_failure_aggregate,n_aggregate,percentage_aggregate,confidence_yes_aggregate,confidence_no_aggregate,decision_aggregate,successRateTargetPct_aggregate
018,Monday,0,0,1,1,0.0,0.00022500000000000205,0.9997750000000001,no,0.985,0,1,1,0.0,0.00022500000000000205,0.9997750000000001,no,0.985
018,Monday,1,0,1,1,0.0,0.00022500000000000205,0.9997750000000001,no,0.985,0,1,1,0.0,0.00022500000000000205,0.9997750000000001,no,0.985
018,Monday,2,0,1,1,0.0,0.0004000000000000006,0.9996,no,0.98,0,1,1,0.0,0.0004000000000000006,0.9996,no,0.98
018,Monday,3,1,0,1,1.0,0.03960000000000003,0.9603999999999999,defer,0.98,1,0,1,1.0,0.03960000000000003,0.9603999999999999,defer,0.98
038,Thursday,0,0,4,4,0.0,7.593750000000196e-10,0.9999999992406251,no,0.985,0,4,4,0.0,7.593750000000196e-10,0.9999999992406251,no,0.985
038,Thursday,1,0,4,4,0.0,7.593750000000196e-10,0.9999999992406251,no,0.985,0,4,4,0.0,7.593750000000196e-10,0.9999999992406251,no,0.985
038,Thursday,2,0,4,4,0.0,3.200000000000015e-09,0.9999999968000001,no,0.98,0,4,4,0.0,3.200000000000015e-09,0.9999999968000001,no,0.98
038,Thursday,3,4,0,4,1.0,0.09607920320000009,0.9039207967999999,defer,0.98,4,0,4,1.0,0.09607920320000009,0.9039207967999999,defer,0.98
053,Tuesday,0,0,1,1,0.0,0.00022500000000000205,0.9997750000000001,no,0.985,0,1,1,0.0,0.00022500000000000205,0.9997750000000001,no,0.985
053,Tuesday,1,0,1,1,0.0,0.00022500000000000205,0.9997750000000001,no,0.985,0,1,1,0.0,0.00022500000000000205,0.9997750000000001,no,0.985
053,Tuesday,2,0,1,1,0.0,0.0004000000000000006,0.9996,no,0.98,0,1,1,0.0,0.0004000000000000006,0.9996,no,0.98
053,Tuesday,3,1,0,1,1.0,0.03960000000000003,0.9603999999999999,defer,0.98,1,0,1,1.0,0.03960000000000003,0.9603999999999999,defer,0.98
063,Monday,0,0,4,4,0.0,7.593750000000196e-10,0.9999999992406251,no,0.985,0,4,4,0.0,7.593750000000196e-10,0.9999999992406251,no,0.985
063,Monday,1,0,4,4,0.0,7.593750000000196e-10,0.9999999992406251,no,0.985,0,4,4,0.0,7.593750000000196e-10,0.9999999992406251,no,0.985
063,Monday,2,0,4,4,0.0,3.200000000000015e-09,0.9999999968000001,no,0.98,0,4,4,0.0,3.200000000000015e-09,0.9999999968000001,no,0.98
063,Monday,3,4,0,4,1.0,0.09607920320000009,0.9039207967999999,defer,0.98,4,0,4,1.0,0.09607920320000009,0.9039207967999999,defer,0.98
068,Monday,0,0,1,1,0.0,0.00022500000000000205,0.9997750000000001,no,0.985,0,1,1,0.0,0.00022500000000000205,0.9997750000000001,no,0.985
068,Monday,1,0,1,1,0.0,0.00022500000000000205,0.9997750000000001,no,0.985,0,1,1,0.0,0.00022500000000000205,0.9997750000000001,no,0.985
068,Monday,2,0,1,1,0.0,0.0004000000000000006,0.9996,no,0.98,0,1,1,0.0,0.0004000000000000006,0.9996,no,0.98
068,Monday,3,1,0,1,1.0,0.03960000000000003,0.9603999999999999,defer,0.98,1,0,1,1.0,0.03960000000000003,0.9603999999999999,defer,0.98
